synset_id,"link_type","tbl_name","description"
3916,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
4044,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
4083,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
4084,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
4250,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
4257,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
4258,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
4468,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
4501,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
4556,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
4557,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
4558,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
4663,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
4667,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
4723,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
4728,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11097,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11097,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
5486,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
5487,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
5537,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
5609,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
5673,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
5933,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
5934,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
5935,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
5946,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
6088,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
10819,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
6274,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11083,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11091,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
6364,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
6458,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
6459,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
6460,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
6468,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
6621,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
6712,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8978,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
12368,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
6768,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
6769,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
6907,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11357,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
7161,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
7162,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
7208,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
7210,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
7211,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
10980,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
7249,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
7264,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
7265,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
7390,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
13175,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
7872,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
7875,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11701,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8212,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8219,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8220,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8465,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8465,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8471,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8480,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8551,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8583,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8706,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8861,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
9016,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
