synset_id,"synset_word",anto_amount_id,"anto_amount_word"
13340,"बहुत",34925,"थोड़ा"
13340,"ज्यादा",34925,"कम"
13340,"ज़्यादा",34925,"कम"
13340,"अधिक",34925,"अल्प"
13340,"काफ़ी",34925,"कम"
13340,"काफी",34925,"कम"
34925,"कम",13340,"ज़्यादा"
34925,"थोड़ा",13340,"बहुत"
34925,"अल्प",13340,"अधिक"
