synset_id,"synset_word",anto_amount_id,"anto_amount_word"
2730,"अधिक अंश",1702,"न्यून अंश"
2730,"अधिकांश",1702,"न्यूनांश"
705,"जोड़फल",2883,"घटान फल"
1702,"न्यून अंश",2730,"अधिक अंश"
8229,"समसंख्या",8740,"विषमसंख्या"
8229,"सम संख्या",8740,"विषम संख्या"
8229,"सम राशि",8740,"विषम राशि"
8740,"विषम संख्या",8229,"सम संख्या"
8740,"विषमसंख्या",8229,"समसंख्या"
8740,"विषम राशि",8229,"सम राशि"
10634,"ऋणात्मक संख्या",10635,"धनात्मक संख्या"
