synset_id,"link_type","tbl_name","description"
448,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
483,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
486,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
493,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
494,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
515,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
516,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
517,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
518,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
519,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
520,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
522,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
525,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
530,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
539,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
540,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
541,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
542,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
543,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
544,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
545,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
547,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
548,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
549,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
550,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
557,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
560,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
576,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
577,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
578,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
579,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
580,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11527,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
613,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
618,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
619,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
620,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
645,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
645,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
646,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
656,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
657,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
663,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
664,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
665,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
666,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
666,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
667,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
667,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
668,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
669,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
669,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
670,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
671,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
690,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
691,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
699,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
700,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
701,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
716,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
717,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
729,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
747,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
754,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
764,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
765,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
766,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
767,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
768,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
788,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
788,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
789,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
790,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
795,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
797,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
819,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
820,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
821,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
821,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
823,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
832,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
834,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
835,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
836,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
840,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
844,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
845,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
847,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
856,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
860,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
866,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
867,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
868,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
869,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
870,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
871,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
872,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
873,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
874,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
876,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
879,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
13680,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
893,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
894,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
895,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
897,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
898,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
899,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
900,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
910,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
918,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
919,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
934,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
935,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
936,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
937,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
938,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
939,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
941,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
942,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
943,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
959,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
