synset_id,"synset_word",anto_place_id,"anto_place_word"
2291,"एकमात्र",118,"कई"
920,"अमध्यवर्ती",2130,"मध्यवर्ती"
935,"नश्वर",2136,"अनश्वर"
1619,"शहरी",4807,"ग्रामीण"
4807,"ग्रामीण",1619,"शहरी"
4865,"कुपाच्य",8424,"सुपाच्य"
