synset_id,"synset_word",grad_time_id,"grad_time_word",mid_synset_id,"mid_word"
1965,"दिन",2025,"रात",882,"गोधूलि"
2784,"वर्तमान काल",1589,"भविष्य काल",1771,"भूत काल"
