synset_id,also_see_id
2241,3064
2367,2358
2368,2367
2689,1662
2785,2688
1118,2239
1358,878
2479,1013
1093,3509
2620,1460
2624,51
2827,2733
2879,2254
596,1627
594,839
5537,3886
1737,3092
7162,5776
7249,3004
8212,1961
9737,2087
9883,2994
9883,123
11091,7954
12218,26822
4250,6890
15437,1681
22158,2087
25047,3459
26759,10794
26759,3295
