synset_id,"synset_word",grad_state_id,"grad_state_word",mid_synset_id,"mid_word"
2358,"अग्र",1259,"पश्च",2130,"मध्यवर्ती"
1591,"एकवर्षी",2874,"बहुवर्षी",1355,"द्विवर्षी"
4856,"ग्रीष्म कालीन",5755,"शीत कालीन",7158,"वर्षा कालीन"
