synset_id,"synset_word",anto_quality_id,"anto_quality_word"
3515,"सुखद अनुभूति",3516,"दुखद अनुभूति"
3516,"दुखद अनुभूति",3515,"सुखद अनुभूति"
3670,"अनार्य",3544,"आर्य"
3670,"अनार्य जाति",3544,"आर्य जाति"
4443,"जलचर जीव",4444,"थलचर जीव"
4443,"जलचर प्राणी",4444,"थलचर प्राणी"
4444,"थलचर प्राणी",4443,"जलचर प्राणी"
4444,"थलचर जीव",4443,"जलचर जीव"
6200,"दुर्गंध",1558,"सुगंध"
6200,"बदबू",1558,"ख़ुशबू"
7853,"विदेशी",19806,"स्वदेशी"
8037,"आमिष आहार",8057,"निरामिष आहार"
8037,"मांसाहार",8057,"शाकाहार"
8037,"सामिष आहार",8057,"निरामिष आहार"
7572,"देशभक्त",23522,"देशद्रोही"
7572,"राष्ट्रभक्त",23522,"राष्ट्रद्रोही"
8057,"निरामिष आहार",8037,"आमिषाहार"
8057,"शाकाहार",8037,"मांसाहार"
8335,"सद्बुद्धि",8137,"कुबुद्धि"
8335,"सुमति",8137,"कुमति"
8137,"कुबुद्धि",8335,"सद्बुद्धि"
8137,"कुमति",8335,"सुमति"
8613,"कच्ची-रसोई",6594,"पक्की रसोई"
8613,"कच्ची रसोई",6594,"पक्की-रसोई"
8613,"कच्चीरसोई",6594,"पक्कीरसोई"
10520,"उपजाऊ भूमि",12160,"अनउपजाऊ भूमि"
10520,"उर्वरा भूमि",12160,"अनुर्वरा भूमि"
10520,"उर्वरा",12160,"अनुर्वरा"
12160,"अनउपजाऊ भूमि",10520,"उपजाऊ भूमि"
12160,"अनुर्वरा भूमि",10520,"उर्वरा भूमि"
12160,"अनुर्वरा",10520,"उर्वरा"
12018,"सुविचार",8661,"कुविचार"
12122,"कुपथ्य",12120,"पथ्य"
13700,"अनर्थ",2971,"अर्थ"
13481,"सुग्रह",13858,"अशुभ ग्रह"
13481,"शुभग्रह",13858,"दुर्ग्रह"
13858,"दुर्ग्रह",13481,"सुग्रह"
13858,"अशुभ ग्रह",13481,"शुभग्रह"
13182,"सुचालक",13183,"कुचालक"
13183,"कुचालक",13182,"सुचालक"
9926,"रुखाई",10935,"नरमी"
8172,"सुपथ्याहार",2502,"कुपथ्याहार"
14684,"अशिक्षित",30148,"शिक्षित"
14684,"निरक्षर",30148,"साक्षर"
15316,"अद्वैतवादी",21043,"द्वैतवादी"
15316,"अद्वैती",21043,"द्वैती"
16589,"उपकारी",16513,"अपकारी"
16589,"उपकर्ता",16513,"अपकर्ता"
16589,"उपकर्त्ता",16513,"अपकर्त्ता"
16589,"उपकारक",16513,"अपकारक"
16589,"उपकार कर्त्ता",16513,"अपकार कर्त्ता"
16589,"उपकार कर्ता",16513,"अपकार कर्ता"
16513,"अपकारी",16589,"उपकारी"
16513,"अपकर्ता",16589,"उपकर्ता"
16513,"अपकर्त्ता",16589,"उपकार कर्त्ता"
16513,"अपकारक",16589,"उपकारक"
16848,"कंजूस",16849,"दानी"
16848,"कृपण",16849,"दानी"
16849,"दानी",16848,"कंजूस"
16849,"दाता",16848,"कृपण"
1727,"बेईमानी",2127,"ईमानदारी"
19806,"स्वदेशी",7853,"विदेशी"
20271,"अश्वेत",966,"श्वेत"
20271,"काला",966,"गोरा"
20273,"गोरा",20276,"काला"
20276,"काला",20273,"गोरा"
20485,"अपरा-विद्या",20486,"परा-विद्या"
20486,"परा-विद्या",20485,"अपरा-विद्या"
21043,"द्वैतवादी",15316,"अद्वैतवादी"
21043,"द्वैती",15316,"अद्वैती"
21749,"निर्जीव",1998,"सजीव"
21749,"प्राणहीन",1998,"प्राणधारी"
22233,"अपेय",6798,"पेय"
23522,"देशद्रोही",7572,"देशभक्त"
23522,"राष्ट्रद्रोही",7572,"राष्ट्रभक्त"
24369,"कुलतारण",24368,"कुलबोरन"
24369,"कुलतारन",24365,"कुलबोरन"
30148,"शिक्षित",14684,"अशिक्षित"
30148,"साक्षर",14684,"निरक्षर"
30482,"उड़िल",34092,"भूड़िल"
31125,"कुलक्षण",31159,"सुलक्षण"
31125,"अलक्षण",31159,"सुलक्षण"
31125,"अशुभ लक्षण",31159,"शुभ लक्षण"
31125,"अशुभ चिह्न",31159,"शुभ चिह्न"
31125,"कुलक्षन",31159,"सुलक्षन"
31125,"कुलक्ष",31159,"सुलक्ष"
31125,"कुलच्छन",31159,"सुलच्छन"
31159,"सुलक्षण",31125,"कुलक्षण"
31159,"सुलक्षन",31125,"कुलक्षन"
31159,"सुलक्ष",31125,"कुलक्ष"
31159,"सुलच्छन",31125,"कुलच्छन"
31159,"शुभ लक्षण",31125,"अशुभ लक्षण"
31159,"शुभ चिह्न",31125,"अशुभ चिह्न"
31639,"अवरोही",33308,"आरोही"
31639,"अवरोही स्वर",33308,"आरोही स्वर"
33308,"आरोही",31639,"आरोही"
33308,"आरोही स्वर",31639,"आरोही स्वर"
34025,"उच्छेदवाद",34026,"शाश्वतवाद"
34025,"उच्छेद-वाद",34026,"शाश्वत-वाद"
34025,"उच्छेद वाद",34026,"शाश्वत वाद"
34026,"शाश्वतवाद",34025,"उच्छेदवाद"
34026,"शाश्वत-वाद",34025,"उच्छेद-वाद"
34026,"शाश्वत वाद",34025,"उच्छेद वाद"
34092,"भूड़िल",30482,"उड़िल"
