synset_id,"synset_word",anto_direction_id,"anto_direction_word"
6909,"पूर्वी",6902,"पश्चिमी"
6902,"पश्चिमी",6909,"पूर्वी"
11789,"दायाँ",9622,"बायाँ"
11789,"दाँयाँ",9622,"बाँयाँ"
