synset_id,"synset_word",grad_time_id,"grad_time_word",mid_synset_id,"mid_word"
2785,"वर्तमान में",3640,"भविष्य में",3641,"भूत में"
3640,"भविष्य में",3641,"भूत में",2785,"वर्तमान में"
