synset_id,"synset_word",anto_gender_id,"anto_gender_word"
825,"इकलौती पुत्री",824,"इकलौता पुत्र"
858,"पुरुष",2954,"महिला"
858,"आदमी",2954,"औरत"
858,"मर्द",2954,"औरत"
858,"नर",2954,"नारी"
907,"कटोरी",2993,"कटोरा"
961,"सुंदर पुरुष",963,"सुंदर स्त्री"
962,"कुरूप स्त्री",972,"कुरूप पुरुष"
963,"सुंदर स्त्री",961,"सुंदर पुरुष"
1048,"सौतेली माता",5369,"सौतेला पिता"
1275,"नेत्री",2371,"नेता"
1272,"यजमान पत्नी",5468,"यजमान"
1292,"गृहस्थ",3936,"गृहस्थिन"
1392,"भैंसा",1411,"भैंस"
1411,"भैंस",1392,"भैंसा"
1395,"लुहारिन",7845,"लुहार"
1395,"लोहारिन",7845,"लोहार"
1395,"लोहारन",7845,"लोहार"
1395,"लुहारन",7845,"लुहार"
1768,"वीर पुरुष",7199,"वीर स्त्री"
1768,"शेर",7199,"शेरनी"
1768,"वीर",7199,"वीरा"
1581,"मोरनी",28355,"मोर"
1581,"मयूरी",28355,"मयूर"
1581,"कलापिनी",28355,"कलापी"
1581,"शिखंडिनी",28355,"शिखंडी"
28355,"मोर",1581,"मोरनी"
28355,"मयूर",1581,"मयूरी"
28355,"कलापी",1581,"कलापिनी"
28355,"शिखंडी",1581,"शिखंडिनी"
1595,"बौद्ध भिक्षु",1596,"बौद्ध भिक्षुणी"
1596,"बौद्ध भिक्षुणी",1595,"बौद्ध भिक्षु"
1597,"साधु स्त्री",2628,"साधु"
1626,"छोटी बहन",80,"छोटा भाई"
1626,"अनुजा",80,"अनुज"
1741,"सेवक",6157,"सेविका"
1741,"अनुचर",6157,"अनुचरी"
1741,"नौकर",6157,"नौकरानी"
1792,"प्रधान अध्यापक",1791,"प्रधान अध्यापिका"
1791,"प्रधान अध्यापिका",1792,"प्रधान अध्यापक"
1833,"सगा भाई",681,"सगी बहन"
1851,"सौतेला भाई",682,"सौतेली बहन"
1744,"रानी",2758,"राजा"
1673,"शिष्या",3635,"शिष्य"
3635,"शिष्य",1673,"शिष्या"
1793,"अध्यापिका",2803,"अध्यापक"
1686,"शिक्षिका",2803,"शिक्षक"
1686,"गुरुआइन",2803,"गुरु"
1686,"आचार्या",2803,"आचार्य"
1745,"महारानी",1743,"महाराजा"
1814,"थैली",3602,"थैला"
1856,"पौराणिक पुरुष",1857,"पौराणिक महिला"
1857,"पौराणिक महिला",1856,"पौराणिक पुरुष"
1871,"धोबिन",1870,"धोबी"
1871,"धोबन",1870,"धोबी"
1871,"बरेठिन",1870,"बरेठा"
1871,"उजली",1870,"उजला"
1625,"हिरनी",6672,"हिरन"
1625,"हिरणी",6672,"हिरण"
1625,"मृगी",6672,"मृग"
1625,"कुरंगी",6672,"कुरंग"
1624,"बंदरिया",28552,"बंदर"
1624,"बन्दरिया",28552,"बन्दर"
1624,"बंदरी",28552,"बंदर"
1624,"बन्दरी",28552,"बन्दर"
1624,"वानरी",28552,"वानर"
1191,"बुढ़िया",6869,"बूढ़ा"
1191,"वृद्धा",6869,"वृद्ध"
1191,"वृद्ध स्त्री",6869,"वृद्ध पुरुष"
1191,"बुजुर्गिन",6869,"बुजुर्ग"
1191,"बुड्ढी",6869,"बुड्ढा"
1191,"बुज़ुर्गिन",6869,"बुज़ुर्ग"
1146,"ब्राह्मण",21421,"ब्राह्मणी"
1146,"ब्रह्मण",21421,"ब्रह्मणी"
2476,"बकरा",2486,"बकरी"
2476,"अज",2486,"अजा"
2476,"छागल",2486,"छागली"
2476,"छगल",2486,"छगली"
2477,"भेड़ा",2487,"भेड़"
2477,"मेष",2487,"मेषी"
849,"सिंह",8464,"सिंहनी"
3054,"नानी",6420,"नाना"
3054,"मातामही",6420,"मातामह"
2628,"साधु",1597,"सधुनी"
4441,"गाय",4495,"बैल"
28552,"बंदर",1624,"बंदरिया"
28552,"बन्दर",1624,"बन्दरिया"
28552,"बंदर",1624,"बंदरी"
28552,"बन्दर",1624,"बन्दरी"
28552,"वानर",1624,"वानरी"
1804,"भतीजी",7379,"भतीजा"
1804,"भ्रातृजा",7379,"भ्रातृज"
2828,"सम्राज्ञी",2759,"सम्राट"
2829,"रानी",2758,"राजा"
2873,"शासिका",2742,"शासक"
3634,"प्रधानाचार्या",2155,"प्रधानाचार्य"
3634,"प्रधान आचर्या",2155,"प्रधान आचार्य"
3507,"घोड़ी",28985,"घोड़ा"
3507,"अश्वा",28985,"अश्व"
3507,"अश्विनी",28985,"अश्व"
3507,"तुरंगी",28985,"तुरंग"
3507,"तुरगी",28985,"तुरग"
3507,"हयी",28985,"हय"
3528,"हथिनी",28540,"हाथी"
3528,"कुंजरी",28540,"कुंजर"
3528,"गजी",28540,"गज"
3528,"हस्तिनी",28540,"हस्ती"
3535,"जेठ",7407,"जेठानी"
3637,"धर्म शिक्षिका",3319,"धर्म शिक्षक"
3639,"चिकित्सक",763,"चिकित्सिका"
3639,"डॉक्टर",763,"उपचारिका"
3639,"उपचारक",763,"डॉक्टरनी"
763,"चिकित्सिका",3639,"चिकित्सक"
763,"उपचारिका",3639,"उपचारक"
763,"डॉक्टरनी",3639,"डॉक्टर"
3646,"पुत्री",3373,"पुत्र"
3646,"बेटी",3373,"बेटा"
3646,"बच्ची",3373,"बच्चा"
3646,"तनुजा",3373,"तनुज"
3646,"आत्मजा",3373,"आत्मज"
3646,"अंगजा",3373,"अंगज"
3646,"नंदिनी",3373,"नंदन"
3646,"बिटिया",3373,"बेटा"
3646,"सुता",3373,"सुत"
3646,"किशोरी",3373,"किशोर"
3646,"तनया",3373,"तनय"
3677,"सास",10783,"ससुर"
3764,"अविवाहित",3718,"अविवाहिता"
3764,"अविवाहित पुरुष",3718,"अविवाहित महिला"
3764,"कुँआरा पुरुष",3718,"कुँआरी स्त्री"
3764,"कुँआरा",3718,"कुँआरी"
3859,"पनहारा",14637,"पनहारी"
3859,"पनहरा",14637,"पनहारी"
3982,"कछुआ",16360,"कछुई"
3982,"कच्छप",16360,"कच्छपी"
