synset_id,"synset_word",anto_size_id,"anto_size_word"
2499,"कुडौल",2862,"सुडौल"
2622,"सूक्ष्मतम",10793,"विशालतम"
2622,"अति सूक्ष्म",10793,"अति विशाल"
3094,"संकीर्ण",7738,"विस्तीर्ण"
417,"मोटा",1283,"पतला"
417,"स्थूलकाय",1283,"छरहरा"
10793,"विशालतम",2622,"सूक्ष्मतम"
10793,"अति विशाल",2622,"अति सूक्ष्म"
12048,"दोलायमान",2301,"स्थिर"
