"word",sense_count,"pos"
"अँअड़ी",1,"noun"
"अँकटी",1,"noun"
"अँकड़ना",5,"verb"
"अँकड़ा",3,"noun"
"अँकड़ाहट",1,"noun"
"अँकड़ी",1,"noun"
"अँकरा",3,"noun"
"अँकरी",3,"noun"
"अँकरोरी",1,"noun"
"अँकरौरी",1,"noun"
"अँकवाना",1,"verb"
"अँकवार",2,"noun"
"अँकवारना",1,"verb"
"अँकवैया",1,"noun"
"अँकसी",1,"noun"
"अँकाई",2,"noun"
"अँकाना",1,"verb"
"अँकाव",1,"noun"
"अँकुड़ा",3,"noun"
"अँकुड़ी",1,"noun"
"अँकुरना",1,"verb"
"अँकुराया",1,"adjective"
"अँकुसी",3,"noun"
"अँकोड़ा",2,"noun"
"अँकोर",5,"noun"
"अँकोरना",2,"verb"
"अँकोरी",3,"noun"
"अँकौर",2,"noun"
"अँखिया",3,"noun"
"अँखुआ",2,"noun"
"अँखुआँ",1,"noun"
"अँखुआना",1,"verb"
"अँखुआया",1,"adjective"
"अँखोड़ा",1,"noun"
"अँखौड़ा",1,"noun"
"अँगड़ाई",1,"noun"
"अँगड़ाई लेना",1,"verb"
"अँगड़ाना",1,"verb"
"अँगनई",1,"noun"
"अँगना",1,"noun"
"अँगनाई",1,"noun"
"अँगनैया",1,"noun"
"अँगरखा",1,"noun"
"अँगराना",1,"verb"
"अँगरी",1,"noun"
"अँगरेज",1,"noun"
"अँगरेजिन",2,"noun"
"अँगरेजी",2,"adjective"
"अँगरेजी",2,"noun"
"अँगरेजी भाषा",1,"noun"
"अँगलेट",1,"noun"
"अँगाकरि",1,"noun"
"अँगिका",1,"noun"
"अँगिया",1,"noun"
"अँगिरा",1,"noun"
"अँगिरा ऋषि",1,"noun"
"अँगीठा",1,"noun"
"अँगीठी",2,"noun"
"अँगुठा छाप",1,"adjective"
"अँगुरिया",2,"noun"
"अँगुली",2,"noun"
"अँगुसी",1,"noun"
"अँगूठा",2,"noun"
"अँगूठा छाप",1,"noun"
"अँगूठी",1,"noun"
"अँगेट",1,"noun"
"अँगेठी",2,"noun"
"अँगेथू",1,"noun"
"अँगोछना",1,"verb"
"अँगोछा",1,"noun"
"अँगोछी",1,"noun"
"अँगोट",1,"noun"
"अँगोरना",2,"verb"
"अँगोरा",1,"noun"
"अँगोला",1,"noun"
"अँगौंगा",1,"noun"
"अँगौरिया",2,"noun"
"अँग्रेजवाद",1,"noun"
"अँग्रेज़वाद",1,"noun"
"अँग्रेज़ियत",2,"noun"
"अँग्रेजियत",2,"noun"
"अँग्विला",1,"noun"
"अँघड़ा",1,"noun"
"अँचरा",1,"noun"
"अँचला",1,"noun"
"अँचवना",1,"verb"
"अँचवाना",1,"verb"
"अँचार",1,"noun"
"अँजली",2,"noun"
"अँजवाना",1,"verb"
"अँजाना",1,"verb"
"अँजुरी",2,"noun"
"अँजोर",1,"noun"
"अँजोरना",1,"verb"
"अँजोरा",1,"adjective"
"अँजोरा",1,"noun"
"अँजोरिया",2,"noun"
"अँजोरी",1,"adjective"
"अँटना",1,"verb"
"अँटवाना",1,"verb"
"अँटाना",2,"verb"
"अँटिया",2,"noun"
"अँटियाना",1,"verb"
"अँटी",1,"noun"
"अँठई",1,"noun"
"अँठलाना",2,"verb"
"अँठली",4,"noun"
"अँडरना",1,"verb"
"अँड़ियाना",2,"verb"
"अँडिया",1,"noun"
"अँडुआ",1,"adjective"
"अँडुआ",1,"noun"
"अँडुआना",1,"verb"
"अँडैल",1,"adjective"
"अँतड़ी",1,"noun"
"अँतरा",1,"adjective"
"अँतरा",1,"noun"
"अँतरिया",1,"noun"
"अँतरौटा",1,"noun"
"अँतर्गडु",1,"adjective"
"अँथऊ",1,"noun"
"अँदाना",1,"verb"
"अँधरिया",1,"noun"
"अँधला",1,"adjective"
"अँधला",1,"noun"
"अँधियार",1,"adjective"
"अँधियार",1,"noun"
"अँधियारा",1,"adjective"
"अँधियारा",1,"noun"
"अँधियारी",2,"noun"
"अँधियारी रात",1,"noun"
"अँधियाला",1,"adjective"
"अँधियाला",1,"noun"
"अँधियाव",1,"noun"
"अँधेर",3,"noun"
"अँधेर-खाता",1,"noun"
"अँधेरा",1,"adjective"
"अँधेरा",1,"noun"
"अँधेरा कमरा",1,"noun"
"अँधेरा करना",1,"verb"
"अँधेरा पक्ष",1,"noun"
"अँधेरा पाख",1,"noun"
"अँधेरिया",1,"noun"
"अँधेरी",1,"noun"
"अँधेरी रात",1,"noun"
"अँधौरी",1,"noun"
"अँबती",1,"noun"
"अँबराई",1,"noun"
"अँबारी",1,"noun"
"अँबासना",2,"verb"
"अँबिया",1,"noun"
"अँबोती",1,"noun"
"अँभौरी",1,"noun"
"अँसुआना",1,"verb"
"अँसुवन",1,"noun"
"अं",1,"noun"
"अंक",10,"noun"
"अंक गणित",1,"noun"
"अंक तालिका",1,"noun"
"अंक निर्धारण",1,"noun"
"अंक पत्र",1,"noun"
"अंक पाना",1,"verb"
"अंक प्रदान",1,"noun"
"अंक प्राप्त करना",1,"verb"
"अंक विद्या",1,"noun"
"अंक शास्त्र",1,"noun"
"अंक-गणित",1,"noun"
"अंक-तालिका",1,"noun"
"अंक-पत्र",1,"noun"
"अंक-फलक",1,"noun"
"अंक-विद्या",1,"noun"
"अंक-शास्त्र",1,"noun"
"अंक-सूची",1,"noun"
"अंकक",3,"noun"
"अंकगणित",1,"noun"
"अंकटी",1,"noun"
"अंकड़ा",2,"noun"
"अंकतालिका",1,"noun"
"अंकन",2,"noun"
"अंकनीय",1,"adjective"
"अंकपत्र",1,"noun"
"अंकपत्रक",1,"noun"
"अंकफलक",1,"noun"
"अंकरा",3,"noun"
"अंकरी",3,"noun"
"अंकवारना",1,"verb"
"अंकविद्या",1,"noun"
"अंकशायी",1,"adjective"
"अंकशास्त्र",1,"noun"
"अंकसी",1,"noun"
"अंकसूची",1,"noun"
"अंकाई",2,"noun"
"अंकारा",1,"noun"
"अंकाव",1,"noun"
"अंकित",2,"adjective"
"अंकित करना",1,"verb"
"अंकित्र",1,"noun"
"अंकीय संगणक",1,"noun"
"अंकुड़ा",3,"noun"
"अंकुर",1,"noun"
"अंकुर निकलना",1,"verb"
"अंकुर फूटना",1,"verb"
"अंकुरक",1,"noun"
"अंकुरण",1,"noun"
"अंकुरण बिंदु",1,"noun"
"अंकुरना",1,"verb"
"अंकुराया",1,"adjective"
"अंकुरित",2,"adjective"
"अंकुरित होना",1,"verb"
"अंकुश",2,"noun"
"अंकुसी",6,"noun"
"अंकेक्षक",1,"noun"
"अंकेक्षण",1,"noun"
"अंकोड़ा",2,"noun"
"अंकोर",5,"noun"
"अंकोरना",2,"verb"
"अंकोरी",3,"noun"
"अंकोल",1,"noun"
"अंकौर",2,"noun"
"अंखिया",2,"noun"
"अंखुआ",1,"noun"
"अंखुआया",1,"adjective"
"अंग",4,"noun"
"अंग चेष्टा",1,"noun"
"अंग प्रत्यंग",1,"noun"
"अंग मर्दन",1,"noun"
"अंग मलाई",1,"noun"
"अंग मुद्रा",1,"noun"
"अंग लगाना",1,"verb"
"अंग विकार",1,"noun"
"अंग विकृति",1,"noun"
"अंग विक्षेप",1,"noun"
"अंग विद्या",1,"noun"
"अंग संबंधी",1,"adjective"
"अंग समूह",1,"noun"
"अंग सम्मर्दन",1,"noun"
"अंग-घात",1,"noun"
"अंग-प्रत्यंग",1,"noun"
"अंग-विकार",1,"noun"
"अंग-विकृति",1,"noun"
"अंग-संचालन",1,"noun"
