synset_id,"synset_word",anto_direction_id,"anto_direction_word"
1305,"उत्तर पश्चिम",1313,"दक्षिण पूर्व"
1314,"उत्तर पूर्व",2397,"दक्षिण पश्चिम"
6898,"पूरब",6616,"पश्चिम"
6898,"पूर्व",6616,"पच्छिम"
6898,"पूर्व दिशा",6616,"पश्चिम दिशा"
6616,"पश्चिम",6898,"पूरब"
6616,"पच्छिम",6898,"पूर्व"
6616,"पश्चिम दिशा",6898,"पूर्व दिशा"
10482,"उत्तरी अक्षांश",8970,"दक्षिणी अक्षांश"
8970,"दक्षिणी अक्षांश",10482,"उत्तरी अक्षांश"
